Reduction,reduction,,Pixel,ADU,Pixel,ADU
"4367,2","3,2796708075",,0,"671,0206472145",916,357
,,,,,917,362
,,,,,918,362
,,,,,919,363
"4368,8","3,2755724575",,0,"670,1821248045",920,362
,,,,,921,362
,,,,,922,362
,,,,,923,358
"4370,4","3,3341432525",,0,"682,1657094615",924,357
,,,,,925,358
,,,,,926,359
,,,,,927,361
4372,"3,3489411575",,0,"685,1933608245",928,360
,,,,,929,358
,,,,,930,359
,,,,,931,359
"4373,6","3,341137945",,0,"683,596823547",932,356
,,,,,933,356
,,,,,934,358
,,,,,935,358
"4375,2","3,339065865",,0,"683,172875979",936,357
,,,,,937,357
,,,,,938,355
,,,,,939,353
"4376,8","3,35971882",,0,"687,398470572",940,355
,,,,,941,351
,,,,,942,355
,,,,,943,354
"4378,4","3,371010015",,0,"689,708649069",944,354
,,,,,945,355
,,,,,946,356
,,,,,947,356
4380,"3,3833816075",,0,"692,2398768945",948,354
,,,,,949,354
,,,,,950,353
,,,,,951,354
"4381,6","3,3767940725",,0,"690,8920672335",952,352
,,,,,953,353
,,,,,954,352
,,,,,955,348
"4383,2","3,2795441525",,0,"670,9947336015",956,350
,,,,,957,351
,,,,,958,350
,,,,,959,346
"4384,8","3,1760003775",,0,"649,8096772365",960,349
,,,,,961,349
,,,,,962,350
,,,,,963,350
"4386,4","3,2840231675",,0,"671,9111400705",964,349
,,,,,965,348
,,,,,966,348
,,,,,967,348
4388,"3,2785925325",,0,"670,8000321495",968,348
,,,,,969,348
,,,,,970,348
,,,,,971,346
"4389,6","3,286669435",,0,"672,452566401",972,348
,,,,,973,347
,,,,,974,347
,,,,,975,346
"4391,2","3,2672234275",,0,"668,4739132665",976,345
,,,,,977,345
,,,,,978,345
,,,,,979,345
"4392,8","3,353292255",,0,"686,083595373",980,344
,,,,,981,344
,,,,,982,344
,,,,,983,344
"4394,4","3,2842825825",,0,"671,9642163795",984,344
,,,,,985,343
,,,,,986,343
,,,,,987,344
4396,"3,30477871",,0,"676,157724066",988,342
,,,,,989,342
,,,,,990,342
,,,,,991,340
"4397,6","3,358382945",,0,"687,125150547",992,339
,,,,,993,341
,,,,,994,341
,,,,,995,340
"4399,2","3,3271578975",,0,"680,7365058285",996,340
,,,,,997,340
,,,,,998,339
,,,,,999,337
"4400,8","3,3315441675",,0,"681,6339366705",1000,339
,,,,,1001,339
,,,,,1002,337
,,,,,1003,337
"4402,4","3,340895635",,0,"683,547246921",1004,337
,,,,,1005,338
,,,,,1006,338
,,,,,1007,338
4404,"3,3133637925",,0,"677,9142319455",1008,337
,,,,,1009,336
,,,,,1010,336
,,,,,1011,337
"4405,6","3,31400635",,0,"678,04569921",1012,336
,,,,,1013,335
,,,,,1014,336
,,,,,1015,335
"4407,2","3,33089571",,0,"681,501262266",1016,335
,,,,,1017,334
,,,,,1018,335
,,,,,1019,334
"4408,8","3,33471673",,0,"682,283042958",1020,334
,,,,,1021,334
,,,,,1022,333
,,,,,1023,333
"4410,4","3,3222493675",,0,"679,7322205905",1024,332
,,,,,1025,331
,,,,,1026,332
,,,,,1027,330
4412,"3,33123692",,0,"681,571073832",1028,330
,,,,,1029,331
,,,,,1030,331
,,,,,1031,331
