Pixel	ADU
2093	148
2094	148
2095	148
2096	148
2097	148
2098	148
2099	150
2100	148
2101	148
2102	147
2103	148
2104	147
2105	148
2106	147
2107	146
2108	148
2109	146
2110	147
2111	146
2112	147
2113	147
2114	145
2115	146
2116	147
2117	146
2118	147
2119	146
2120	145
2121	145
2122	144
2123	145
2124	146
2125	147
2126	147
2127	147
2128	145
2129	144
2130	143
2131	144
2132	144
2133	145
2134	146
2135	146
2136	146
2137	145
2138	143
2139	142
2140	141
2141	142
2142	142
2143	144
2144	145
2145	146
2146	146
2147	145
2148	144
2149	144
2150	142
2151	138
2152	139
2153	139
2154	140
2155	140
2156	142
2157	143
2158	144
2159	144
2160	144
2161	145
2162	144
2163	142
2164	140
2165	139
2166	138
2167	137
2168	136
2169	137
2170	138
2171	138
2172	139
2173	140
2174	142
2175	142
2176	142
2177	143
2178	143
2179	142
2180	142
2181	141
2182	140
2183	139
2184	137
2185	136
2186	135
2187	134
2188	133
2189	134
2190	134
2191	136
2192	136
2193	137
2194	138
2195	139
2196	140
2197	140
2198	141
2199	140
2200	141
2201	143
2202	139
2203	140
2204	141
2205	140
2206	139
2207	137
2208	134
2209	133
2210	129
2211	133
2212	131
2213	130
2214	130
2215	132
2216	132
2217	128
2218	133
2219	133
2220	133
2221	135
2222	136
2223	137
2224	139
2225	140
2226	141
2227	141
2228	142
2229	142
2230	141
2231	142
2232	141
2233	141
2234	140
2235	139
2236	138
2237	137
2238	136
2239	135
2240	129
2241	132
2242	131
2243	128
2244	135
2245	131
2246	123
2247	117
2248	114
2249	118
2250	120
2251	117
2252	116
2253	121
2254	119
2255	122
2256	123
2257	125
2258	129
2259	134
2260	130
2261	135
2262	135
2263	132
2264	137
2265	139
2266	131
2267	125
2268	134
2269	132
2270	129
2271	138
2272	129
2273	135
2274	136
2275	126
2276	133
2277	133
2278	128
2279	134
2280	129
2281	135
2282	131
2283	127
2284	127
2285	130
2286	135
2287	124
2288	130
2289	126
2290	127
2291	124
2292	128
2293	126
2294	111
2295	113
2296	124
2297	117
2298	128
2299	126
2300	127
2301	128
2302	122
2303	128
2304	127
2305	128
2306	128
2307	126
2308	128
2309	130
2310	129
2311	131
2312	129
2313	128
2314	128
2315	130
2316	130
2317	129
2318	131
2319	131
2320	127
2321	131
2322	131
2323	131
2324	132
2325	131
2326	131
2327	131
2328	128
2329	130
2330	129
2331	129
2332	128
2333	129
2334	128
2335	129
2336	128
2337	128
2338	127
2339	129
2340	128
2341	127
2342	128
2343	126
2344	126
2345	126
2346	124
2347	123
2348	121
2349	121
2350	120
2351	117
2352	117
2353	117
2354	115
2355	115
2356	111
2357	101
2358	104
2359	95
2360	102
2361	102
2362	96
2363	109
2364	105
2365	107
2366	105
2367	114
2368	113
2369	113
2370	112
2371	116
2372	114
2373	117
2374	117
2375	118
2376	118
2377	121
2378	121
2379	122
2380	122
2381	123
2382	122
2383	124
2384	125
2385	124
2386	124
2387	123
2388	124
2389	123
2390	123
2391	122
2392	122
2393	123
2394	123
2395	122
2396	124
2397	124
2398	124
2399	124
2400	124
2401	124
2402	124
2403	123
2404	123
2405	123
2406	122
2407	122
2408	122
2409	121
2410	121
2411	121
2412	122
2413	121
2414	122
2415	121
2416	119
2417	109
2418	118
2419	122
2420	121
2421	122
2422	121
2423	115
2424	119
2425	119
2426	118
2427	119
2428	119
2429	117
2430	117
2431	118
2432	119
2433	119
2434	118
2435	115
2436	118
2437	119
2438	118
2439	118
2440	117
2441	116
2442	115
2443	113
2444	113
2445	112
2446	111
2447	110
2448	110
2449	110
2450	108
2451	107
2452	105
2453	106
2454	106
2455	104
2456	99
2457	99
2458	102
2459	96
2460	88
2461	83
2462	76
2463	87
2464	93
2465	97
2466	85
2467	93
2468	96
2469	99
2470	98
2471	102
2472	105
2473	105
2474	106
2475	107
2476	108
2477	109
2478	110
2479	110
2480	110
2481	110
2482	110
2483	110
2484	110
2485	110
2486	111
2487	113
2488	114
2489	112
2490	114
2491	115
2492	114
2493	113
2494	113
2495	112
2496	111
2497	111
2498	111
2499	111
2500	112
2501	113
